State,Electors,Total_Votes,T
(01) Jammu & Kashmir 01,7844898,3552622,0.452857640723946
(02) Himachal Pradesh 02,5262126,3850732,0.731782553287398
(03) Punjab 03,20781211,13765432,0.662397970936342
(04) Chandigarh 04,646084,456568,0.706669720965076
(05) Uttarakhand 05,7765460,4842925,0.623649468286489
(06) Haryana 06,17951028,12681536,0.706451797635211
(07) Delhi 07,14316453,8679012,0.60622641655723
(08) Rajasthan 08,48819246,32441064,0.664513827190203
(09) Uttar Pradesh 09,145858999,86481398,0.592910952309497
(10) Bihar 10,71063555,40805297,0.574208495479856
(11) Sikkim 11,435599,351746,0.807499558079794
(12) Arunachal Pradesh 12,798249,652091,0.816901743691505
(13) Nagaland 13,1206287,1006357,0.834260006117947
(14) Manipur 14,1939244,1617330,0.834000259895093
(15) Mizoram 15,787777,499621,0.634216282018896
(16) Tripura 16,2605326,2153172,0.826450125627273
(17) Meghalaya 17,1911372,1367231,0.715313921099608
(18) Assam 18,21991112,17986066,0.81787887761201
(19) West Bengal 19,69891741,57206976,0.818508384273902
(20) Jharkhand 20,22364480,14961958,0.669005404999356
(21) Orissa 21,32455313,23790972,0.733037823422008
(22) Chhattisgarh 22,18999239,13614453,0.716578858763764
(23) Madhya Pradesh 23,51794665,36910610,0.712633434350816
(24) Gujarat 24,45125680,29081964,0.644465944889916
(25) Daman & Diu 25,121729,87469,0.71855515119651
(26) Dadra+Nagar Haveli 26,250021,198983,0.795865147327625
(27) Maharashtra 27,88564748,54054245,0.610335897980537
(28) Andhra Pradesh 28,69042996,50250137,0.727809334925153
(29) Karnataka 29,51051307,35138682,0.688301320081776
(30) Goa 30,1135811,853203,0.751183955781376
(31) Lakshadweep 31,55057,47009,0.853824218537153
(32) Kerala 32,26151534,20385216,0.779503642119044
(33) Tamil Nadu 33,58442767,42366721,0.724926679121815
(34) Pondicherry 34,973161,790760,0.812568526687773
(35) Anadman/Nicobar 35,317878,207296,0.652124399927016
